0.38	1	3e-06	-0.727572	0.699459	0	-4.34289	-4.48386	0
0.385	1	3e-06	-0.748933	0.676708	0	-4.20115	-4.61596	0
0.39	1	3e-06	-0.769576	0.653307	0	-4.05543	-4.7436	0
0.395	1	3e-06	-0.789481	0.629279	0	-3.90587	-4.86664	0
0.4	1	3e-06	-0.808629	0.604648	0	-3.7526	-4.98497	0
0.405	1	3e-06	-0.827001	0.579438	0	-3.59579	-5.0985	0
0.41	1	3e-06	-0.844581	0.553672	0	-3.43557	-5.2071	0
0.415	1	3e-06	-0.861352	0.527375	0	-3.27211	-5.31069	0
0.42	1	3e-06	-0.877297	0.500573	0	-3.10555	-5.40916	0
0.425	1	3e-06	-0.892402	0.473292	0	-2.93607	-5.50243	0
0.43	1	3e-06	-0.906653	0.445558	0	-2.76381	-5.59041	0
0.435	1	3e-06	-0.920036	0.417397	0	-2.58894	-5.67302	0
0.44	1	3e-06	-0.932538	0.388837	0	-2.41163	-5.75019	0
0.445	1	3e-06	-0.944149	0.359904	0	-2.23205	-5.82183	0
0.45	1	3e-06	-0.954856	0.330627	0	-2.05037	-5.8879	0
0.455	1	3e-06	-0.964649	0.301035	0	-1.86675	-5.94832	0
0.46	1	3e-06	-0.97352	0.271154	0	-1.68138	-6.00305	0
0.465	1	3e-06	-0.98146	0.241014	0	-1.49442	-6.05203	0
0.47	1	3e-06	-0.988462	0.210643	0	-1.30606	-6.09521	0
0.475	1	3e-06	-0.994519	0.180071	0	-1.11647	-6.13257	0
0.48	1	3e-06	-0.999625	0.149327	0	-0.925824	-6.16406	0
0.485	1	3e-06	-1.00378	0.11844	0	-0.734311	-6.18966	0
0.49	1	3e-06	-1.00697	0.0874405	0	-0.542107	-6.20934	0
0.495	1	3e-06	-1.0092	0.056357	0	-0.349394	-6.22308	0
0.5	1	3e-06	-1.01046	0.0252196	0	-0.156352	-6.23088	0
0.505	1	3e-06	-1.01076	-0.00594191	0	0.0368375	-6.23272	0
0.51	1	3e-06	-1.01009	-0.0370977	0	0.229992	-6.22861	0
0.515	1	3e-06	-1.00846	-0.0682181	0	0.42293	-6.21854	0
0.52	1	3e-06	-1.00586	-0.0992732	0	0.615471	-6.20253	0
